No,Unidad Administrativa,Nombre del Trámite,Clave de Referencia,Cadena de Dependencia,Categoría,Cuota 2016,Cuota 2017
1,Unidad de Administración Técnica de Asignaciones y Contratos,Por la administración y seguimiento técnico anual de un contrato o asignación para la exploración y extracción de hidrocarburos.,837001826,0001512010A001,Administración técnica de contratos,402200,580000
2,Unidad Técnica de Exploración,Por la evaluación y resolución del plan de exploración.,837001826,0001513010B001,Administración técnica de contratos,48500,280500
3,Unidad Técnica de Extracción/Unidad Técnica de Exploración ,Por la evaluación y resolución del plan de desarrollo.,837001826,0001514010B002,Administración técnica de contratos,177300,270590
4,Unidad Técnica de Extracción/Unidad Técnica de Exploración ,"Por la evaluación, resolución y administración de una autorización de perforación de un pozo de exploración o extracción de hidrocarburos, incluidos los avisos de inicio de perforación de los pozos comprendidos en una autorización de un pozo tipo.",837001826,0001515020C001,Autorizaciones,42100,125600
5,Unidad Técnica de Exploración,"Por la evaluación, resolución y administración de una autorización de reconocimiento y exploración superficial.",837001826,0001516020D001,Autorizaciones,48600,259300
6,Unidad Técnica de Exploración,"Por los ingresos obtenidos de cada transacción comercial de la información obtenida de una Autorización de Reconocimiento y Exploración Superficial en la modalidad ""sin adquisición de datos de campo""",837001826,0003559040AS01,Autorizaciones,7.5% de los ingresos percibidos en 2016 por la transacción comercial de la información,7.5% de los ingresos efectivamente percibidos en el ejercicio fiscal 2017
7,Unidad Técnica de Exploración,"Por los ingresos obtenidos de cada transacción comercial de la información obtenida de una Autorización de Reconocimiento y Exploración Superficial en la modalidad ""con adquisición de datos de campo""",837001826,0003560040AT01,Autorizaciones,2.5% de los ingresos percibidos en 2016 por la transacción comercial de la información,2.5% de los ingresos efectivamente percibidos en el ejercicio fiscal 2017
8,Centro Nacional de Información de Hidrocarburos,Por el acceso y descarga de cada registro de pozo.,837001826,0003525040M001,Datos de pozo,7400,7570
9,Centro Nacional de Información de Hidrocarburos,Por el acceso y descarga de cada reporte de pozo.,837001826,0003526040N001,Datos de pozo,6700,6860
10,Centro Nacional de Información de Hidrocarburos,"Por el acceso y descarga de cada conjunto de 4 curvas en formato LAS, LIS o DLIS para pozos en tierra.",837001826,0003527040O001,Datos de pozo,800.00 ,820.00 
11,Centro Nacional de Información de Hidrocarburos,"Por el acceso y descarga de cada conjunto de 4 curvas en formato LAS, LIS o DLIS para pozos en mar.",837001826,0003528040P001,Datos de pozo,8000,8190
12,Centro Nacional de Información de Hidrocarburos,Por el acceso y descarga de cada análisis geoquímico de cada pozo.,837001826,0003530040R001,Datos de pozo,1900,1940
13,Centro Nacional de Información de Hidrocarburos,"Por acceso y descarga de datos sísmicos 3D Naz procesados en tiempo o profundidad o relacionados con un modelo de velocidades cuya antigüedad sea menor a 12 años, por cada kilómetro cuadrado.",837001826,0003522040J001,Datos sísmicos y geofísicos,3750,3840
14,Centro Nacional de Información de Hidrocarburos,"Por acceso y descarga de datos sísmicos 3D Waz, procesados en tiempo o profundidad o relacionados con un modelo de velocidades, cuya antigüedad sea menor de 12 años,  por cada kilómetro cuadrado.",837001826,0003523040K001,Datos sísmicos y geofísicos,20000,20470
15,Centro Nacional de Información de Hidrocarburos,Por el acceso y descarga de cada Gigabyte de un conjunto de datos sísmicos procesados en tiempo o profundidad o relacionados con un modelo de velocidades.,837001826,0003524040L001,Datos sísmicos y geofísicos,7250,7420
16,Centro Nacional de Información de Hidrocarburos,Por el acceso y descarga de cada estudio geológico o geofísico.,837001826,0003529040Q001,Datos sísmicos y geofísicos,3000,3070
